year,keyword,count
2018,konvansiyonel hayvancılık,3
2018,monokültür tarım,11
2018,onarıcı tarım,37
2018,permakültür,352
2018,pestisit kullanımı,34
2018,planlı otlatma,3
2018,pozitif tarım,106
2018,savory enstitüsü,2
2018,sürdürülebilir tarım,993
2018,toprak işlemesiz tarım,5
2018,topraktaki organik madde miktarı,3
2018,toprağa karbon gömme,1
2018,toprağın su tutma kapasitesi,1
2018,yeşil gübreleme,24
2018,yoğun otlatma,2
2019,agroekoloji,75
2019,bütüncül planlı otlatma,1
2019,bütüncül yönetim,66
2019,canlandırıcı tarım,2
2019,doğa dostu tarım,42
2019,doğa temelli çözümler,10
2019,dönüm hattı tasarımı,1
2019,dönüşümlü ekim,13
2019,ekolojik onarım,4
2019,iklim dostu tarım,6
2019,insan dostu tarım,4
2019,iyi tarım uygulamaları,151
2019,konvansiyonel hayvancılık,2
2019,monokültür tarım,22
2019,onarıcı tarım,59
2019,permakültür,412
2019,pestisit kullanımı,190
2019,planlı otlatma,2
2019,pozitif tarım,108
2019,savory enstitüsü,2
2019,sürdürülebilir tarım,1174
2019,sürmesiz tarım,1
2019,toprak işlemesiz tarım,13
2019,topraktaki organik madde miktarı,1
2019,toprağın su tutma kapasitesi,12
2019,yenileyici tarım,1
2019,yeşil gübreleme,24
2019,yoğun otlatma,1
2020,agroekoloji,64
2020,bütüncül planlı otlatma,1
2020,bütüncül yönetim,86
2020,doğa dostu tarım,118
2020,doğa temelli çözümler,6
2020,dönüm hattı tasarımı,2
2020,dönüşümlü ekim,30
2020,ekolojik onarım,16
2020,iklim dostu tarım,6
2020,insan dostu tarım,4
2020,iyi tarım uygulamaları,122
2020,konvansiyonel hayvancılık,1
2020,meraların onarımı,2
2020,monokültür tarım,29
2020,onarıcı tarım,160
2020,onarım çağı,24
2020,permakültür,517
2020,pestisit kullanımı,160
2020,planlı otlatma,2
2020,pozitif tarım,324
2020,savory enstitüsü,3
2020,sürdürülebilir tarım,2327
2020,toprak işlemesiz tarım,14
2020,topraktaki organik madde miktarı,6
2020,toprağın su tutma kapasitesi,17
2020,yenileyici tarım,4
2020,yeşil gübreleme,56
2020,yoğun otlatma,8
2021,agroekoloji,120
2021,bütüncül planlı otlatma,5
2021,bütüncül yönetim,73
2021,canlandırıcı tarım,4
2021,doğa dostu tarım,73
2021,doğa temelli çözümler,27
2021,dönüşümlü ekim,15
2021,ekolojik onarım,9
2021,fukuoka doğal tarım yöntemi,3
2021,iklim dostu tarım,16
2021,insan dostu tarım,7
2021,iyi tarım uygulamaları,111
2021,konvansiyonel hayvancılık,11
2021,meraların onarımı,1
2021,monokültür tarım,15
2021,onarıcı tarım,189
2021,onarım çağı,7
2021,permakültür,1682
2021,pestisit kullanımı,135
2021,planlı otlatma,11
2021,pozitif tarım,309
2021,savory enstitüsü,3
2021,sürdürülebilir tarım,3364
2021,sürmesiz tarım,3
2021,toprak işlemesiz tarım,14
2021,topraktaki organik madde miktarı,17
2021,toprağa karbon gömme,3
2021,toprağın su tutma kapasitesi,37
2021,yenileyici tarım,30
2021,yeşil gübreleme,59
2021,yoğun otlatma,5
